"","code","country","country_area","1m_area","2m_area","3m_area","4m_area","5m_area","1m_percent","2m_percent","3m_percent","4m_percent","5m_percent"
"59","SEN","Senegal","196151",1639,3040,5075,7019,8584,0.84,1.55,2.59,3.58,4.38
"60","SLE","Sierra Leone","72616",253,574,1158,1889,2574,0.35,0.79,1.59,2.6,3.54
"61","SOM","Somalia","634315",567,836,1177,1620,2185,0.09,0.13,0.19,0.26,0.34
"62","SDN","Sudan","2492385",517,757,1059,1384,1696,0.02,0.03,0.04,0.06,0.07
"63","TGO","Togo","57277",107,155,209,267,330,0.19,0.27,0.36,0.47,0.58
"64","STP","Sao Tome and Principe","1008",7,9,10,12,14,0.69,0.89,0.99,1.19,1.39
"65","TZA","Tanzania, United Republic of","891021",150,230,365,563,805,0.02,0.03,0.04,0.06,0.09
"66","NAM","Namibia","819964",542,891,1260,1572,1824,0.07,0.11,0.15,0.19,0.22
"67","DJI","Djibouti","20903",307,331,365,408,460,1.47,1.58,1.75,1.95,2.2
"68","MMR","Myanmar (Burma)","669310",4826,7363,11948,19371,27257,0.72,1.1,1.79,2.89,4.07
"69","BRN","Brunei","5901",17,21,29,52,99,0.29,0.36,0.49,0.88,1.68
"70","KHM","Cambodia","179492",1034,1892,3319,5220,7565,0.58,1.05,1.85,2.91,4.21
"71","CHN","China","9198103",31598,49384,70304,93815,116606,0.34,0.54,0.76,1.02,1.27
"72","IDN","Indonesia","1898776",13861,22150,35090,53526,77205,0.73,1.17,1.85,2.82,4.07
"73","PRK","North Korea","122440",262,481,868,1496,3038,0.21,0.39,0.71,1.22,2.48
"74","KOR","South Korea","98977",536,895,1350,1927,2637,0.54,0.9,1.36,1.95,2.66
"75","MYS","Malaysia","329941",745,1334,2500,4305,6638,0.23,0.4,0.76,1.3,2.01
"76","PNG","Papua New Guinea","464043",659,925,1359,2029,3121,0.14,0.2,0.29,0.44,0.67
"77","PHL","Philippines","295408",1735,2837,4526,6709,9078,0.59,0.96,1.53,2.27,3.07
"78","THA","Thailand","513618",1607,3685,7578,12924,18498,0.31,0.72,1.48,2.52,3.6
"79","TWN","Taiwan China","36223",574,868,1204,1552,1882,1.58,2.4,3.32,4.28,5.2
"80","VNM","Vietnam","328535",16977,28090,38860,47080,52926,5.17,8.55,11.83,14.33,16.11
"81","BGD","Bangladesh","136305",2062,3467,6365,11166,17611,1.51,2.54,4.67,8.19,12.92
"82","LKA","Sri Lanka","65830",311,571,1042,1667,2341,0.47,0.87,1.58,2.53,3.56
"83","IND","India","3209716",7811,13562,21267,30419,39520,0.24,0.42,0.66,0.95,1.23
"84","PAK","Pakistan","785320",3038,5692,8939,11726,14140,0.39,0.72,1.14,1.49,1.8
